V	Va	Vb 1N4148	I 1N4148	Vb 1N4007	I 1N4007			
0	0	0	0,00E+00	0	0,00E+00			
0,1	0,1	10	9,00E-06	100	0,00E+00			
0,2	0,19	20	1,70E-05	190	0,00E+00			
0,3	0,3	28	2,72E-05	280	2,00E-06			
0,4	0,4	36	3,64E-05	360	4,00E-06			
0,5	0,48	40	4,40E-05	400	8,00E-06			
0,6	0,6	44	5,56E-05	400	2,00E-05			
0,7	0,68	44	6,36E-05	440	2,40E-05			
0,8	0,8	44	7,56E-05	440	3,60E-05			
0,9	0,9	48	8,52E-05	440	4,60E-05			
1	1	48	9,52E-05	440	5,60E-05			
1,1	1,1	48	1,05E-04	440	6,60E-05			
1,2	1,2	48	1,15E-04	440	7,60E-05			
1,4	1,4	52	1,35E-04	480	9,20E-05			
1,6	1,6	52	1,55E-04	480	1,12E-04			
1,8	1,8	52	1,75E-04	480	1,32E-04			
2	2	52	1,95E-04	480	1,52E-04			
2,2	2,2	52	2,15E-04	480	1,72E-04			
2,5	2,6	56	2,54E-04	520	2,08E-04			
2,8	2,8	56	2,74E-04	520	2,28E-04			
3	3	56	2,94E-04	520	2,48E-04			
3,5	3,6	56	3,54E-04	520	3,08E-04			
4	4	56	3,94E-04	520	3,48E-04			
5	5,2	60	5,14E-04	520	4,68E-04			
6	6	60	5,94E-04	560	5,44E-04			
7	7,2	60	7,14E-04	560	6,64E-04			
8	8	60	7,94E-04	560	7,44E-04			
9	9	60	8,94E-04	560	8,44E-04			
10	10	60	9,94E-04	560	9,44E-04			
11	11	64	1,09E-03	600	1,04E-03			
12	12	64	1,19E-03	600	1,14E-03			
13	13	64	1,29E-03	600	1,24E-03			
15	15	64	1,49E-03	600	1,44E-03			
18	18	64	1,79E-03	600	1,74E-03			
20	20	64	1,99E-03	600	1,94E-03			
